"No.","Time","Source","Destination","Protocol","Length","RTT","Info"
"110","3.869008","172.217.24.228","10.150.33.220","TCP","66","0.000968000","443  >  55634 [ACK] Seq=2580 Ack=2659 Win=27904 Len=0 TSval=176845082 TSecr=613554850"
"115","3.995219","104.81.18.27","10.150.33.220","TCP","74","0.002037000","443  >  55636 [SYN, ACK] Seq=0 Ack=1 Win=18328 Len=0 MSS=1396 SACK_PERM=1 TSval=176845095 TSecr=613554974 WS=128"
"116","3.995345","10.150.33.220","104.81.18.27","TCP","66","0.000126000","55636  >  443 [ACK] Seq=1 Ack=1 Win=131456 Len=0 TSval=613554976 TSecr=176845095"
"118","3.997657","104.81.18.27","10.150.33.220","TCP","66","0.001642000","443  >  55636 [ACK] Seq=1 Ack=518 Win=19456 Len=0 TSval=176845095 TSecr=613554976"
"127","4.371016","10.150.33.220","104.81.18.27","TCP","66","0.000134000","55636  >  443 [ACK] Seq=518 Ack=2769 Win=128704 Len=0 TSval=613555349 TSecr=176845127"
"128","4.371017","10.150.33.220","104.81.18.27","TCP","66","0.000134000","55636  >  443 [ACK] Seq=518 Ack=3811 Win=127616 Len=0 TSval=613555349 TSecr=176845127"
"132","4.415673","104.81.18.27","10.150.33.220","TCP","66","0.000984000","443  >  55636 [ACK] Seq=3811 Ack=598 Win=19456 Len=0 TSval=176845137 TSecr=613555392"
"135","4.420342","104.81.18.27","10.150.33.220","TCP","66","0.005338000","443  >  55636 [ACK] Seq=3811 Ack=684 Win=19456 Len=0 TSval=176845137 TSecr=613555392"
"136","4.420892","104.81.18.27","10.150.33.220","TCP","66","0.005193000","443  >  55636 [ACK] Seq=3811 Ack=2068 Win=22272 Len=0 TSval=176845137 TSecr=613555392"
"137","4.421268","104.81.18.27","10.150.33.220","TCP","66","0.005568000","443  >  55636 [ACK] Seq=3811 Ack=3410 Win=24960 Len=0 TSval=176845137 TSecr=613555392"
"139","4.459326","10.150.33.220","104.81.18.27","TCP","66","0.000133000","55636  >  443 [ACK] Seq=3410 Ack=4353 Win=130496 Len=0 TSval=613555434 TSecr=176845141"
"141","4.462442","10.150.33.220","104.81.18.27","TCP","66","0.000115000","55636  >  443 [ACK] Seq=3410 Ack=4423 Win=130944 Len=0 TSval=613555437 TSecr=176845141"
"143","4.463433","104.81.18.27","10.150.33.220","TCP","66","0.000771000","443  >  55636 [ACK] Seq=4423 Ack=3441 Win=24960 Len=0 TSval=176845142 TSecr=613555437"
"145","4.470122","10.150.33.220","104.81.18.27","TCP","66","0.000158000","55636  >  443 [ACK] Seq=3441 Ack=5469 Win=129984 Len=0 TSval=613555444 TSecr=176845142"
"148","4.477590","10.150.33.220","104.81.18.27","TCP","66","0.000130000","55636  >  443 [ACK] Seq=3441 Ack=7561 Win=130304 Len=0 TSval=613555450 TSecr=176845142"
"151","4.483545","10.150.33.220","104.81.18.27","TCP","66","0.000089000","55636  >  443 [ACK] Seq=3441 Ack=9653 Win=128960 Len=0 TSval=613555456 TSecr=176845143"
