Using TCP Agent: TcpVegas
Packet Size 		Throughput 		Fairness Index 
40			69.919251		1
44			72.955538		1
48			75.991676		1
52			79.027664		1
60			85.099196		1
250			229.122827		1
300			266.967979		1
552			457.354600		1
576			475.455974		1
628			514.657348		1
1420			1108.110084		1
1500			1168.020587		1
