Using TCP Agent: TcpWestwood
Packet Size 		Throughput 		Fairness Index 
40			2085.567260		1
44			3295.696687		1
48			3328.333043		1
52			3360.662126		1
60			3425.090131		1
250			3290.297151		1
300			3301.825896		1
552			3405.036632		1
576			3415.798894		1
628			3439.550993		1
1420			3732.406380		1
1500			3670.797060		1
