Using TCP Agent: TcpNewReno
Packet Size 		Throughput 		Fairness Index 
40			747.627219		1
44			786.906396		1
48			807.189384		1
52			837.676174		1
60			896.200125		1
250			2213.655876		1
300			2396.565164		1
552			2479.037345		1
576			2478.289783		1
628			2483.651832		1
1420			2593.388660		1
1500			2563.497874		1
