Using TCP Agent: TcpVeno
Packet Size 		Throughput 		Fairness Index 
40			7051.633658		1
44			8170.879209		1
48			8185.021029		1
52			8198.672390		1
60			8224.794560		1
250			6081.999033		1
300			5922.795748		1
552			5587.527016		1
576			5568.759068		1
628			5557.777954		1
1420			5368.811442		1
1500			5350.754935		1
