Using TCP Agent: TcpWestwood
Packet Size 		Throughput 		Fairness Index 
40			415.986471		1
44			435.704752		1
48			442.638115		1
52			446.072409		1
60			494.239569		1
250			2213.655876		1
300			2396.565164		1
552			2479.037345		1
576			2478.289783		1
628			2483.651832		1
1420			2593.388660		1
1500			2563.497874		1
